station_index,station_id,source_station_id,expver,resolution_arcmin,valid_time_shift_hours,file,name,river,country_code,lon,lat,model_lon,model_lat,model_row,model_col,distance_station_to_model_km,upstream_area_km2,model_upstream_area_km2,upstream_area_difference_pct,kge,correlation,rmse,matched_days,KGE,Correlation,RMSE_m3s,Matched_days,Obs_file
4590,station_004590,16158,glofas_v5,15,-24,stations/station_004590.json,"NEAR DEFIANCE, OH",AUGLAIZE,United States,-84.4,41.24,-84.425,41.225,,,2.674,6003.6,5942.2,-1.02,0.608,0.615,112.218,1409,0.608,0.615,112.218,1409,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
4591,station_004591,16159,glofas_v5,15,-24,stations/station_004591.json,"NEAR FREMONT, OHIO",SANDUSKY,United States,-83.16,41.31,-83.175,41.325,,,2.086,3240.1,3226.9,-0.41,0.548,0.56,59.126,1767,0.548,0.56,59.126,1767,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
4592,station_004592,16161,glofas_v5,15,-24,stations/station_004592.json,"MORAVIAN DRIVE AT MT. CLEMENS, MI",CLINTON,United States,-82.91,42.6,-82.875,42.575,,,3.992,1901.1,2048.1,7.73,0.644,0.658,18.717,1768,0.644,0.658,18.717,1768,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
4593,station_004593,16162,glofas_v5,15,-24,stations/station_004593.json,"ANN ARBOR, MI",HURON,United States,-83.73,42.29,-83.775,42.325,,,5.37,1888.1,1987.6,5.27,0.802,0.809,7.787,1824,0.802,0.809,7.787,1824,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
4594,station_004594,16163,glofas_v5,15,-24,stations/station_004594.json,"PAINESVILLE, OH",Grand,United States,-81.23,41.72,-81.225,41.725,,,0.694,1774.2,1874.9,5.68,0.59,0.59,36.404,1780,0.59,0.59,36.404,1780,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
4595,station_004595,16164,glofas_v5,15,-24,stations/station_004595.json,"GOWANDA, N.Y.",CATTARAUGUS CREEK,United States,-78.94,42.46,-78.925,42.425,,,4.082,1129.2,1210.7,7.22,0.519,0.524,26.786,1757,0.519,0.524,26.786,1757,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
4597,station_004597,16166,glofas_v5,15,-24,stations/station_004597.json,"PORTAGEVILLE, NY",GENESEE,United States,-78.04,42.57,-78.025,42.575,,,1.348,2548.6,2611.6,2.47,0.578,0.587,49.023,1745,0.578,0.587,49.023,1745,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
4598,station_004598,16168,glofas_v5,15,-24,stations/station_004598.json,"WATERTOWN, NY",Black,United States,-75.92,43.99,-75.925,43.975,,,1.715,4827.8,5100.6,5.65,0.754,0.793,68.011,1767,0.754,0.793,68.011,1767,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
4599,station_004599,16169,glofas_v5,15,-24,stations/station_004599.json,"NEAR HEUVELTON, NY",OSWEGATCHIE,United States,-75.38,44.6,-75.375,44.625,,,2.808,2553.7,2663.0,4.28,0.766,0.817,28.137,1772,0.766,0.817,28.137,1772,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
4600,station_004600,16170,glofas_v5,15,-24,stations/station_004600.json,"BRASHER CENTER, N.Y.",SAINT REGIS,United States,-74.78,44.86,-74.775,44.875,,,1.714,1585.0,1787.1,12.75,0.638,0.754,22.674,1801,0.638,0.754,22.674,1801,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
4601,station_004601,16171,glofas_v5,15,-24,stations/station_004601.json,"PLATTSBURGH, N.Y.",SARANAC,United States,-73.47,44.68,-73.475,44.675,,,0.682,1574.7,1546.9,-1.77,0.79,0.834,12.523,1796,0.79,0.834,12.523,1796,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
4602,station_004602,16172,glofas_v5,15,-24,stations/station_004602.json,"MIDDLEBURY, VT.",OTTER CREEK,United States,-73.17,44.01,-73.175,44.025,,,1.715,1626.5,1635.6,0.56,0.688,0.81,14.755,1815,0.688,0.81,14.755,1815,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
4603,station_004603,16173,glofas_v5,15,-24,stations/station_004603.json,"EAST GEORGIA, VT.",LAMOILLE,United States,-73.07,44.68,-73.075,44.675,,,0.682,1776.7,1852.4,4.26,0.643,0.652,36.873,1795,0.643,0.652,36.873,1795,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
4604,station_004604,16174,glofas_v5,15,-24,stations/station_004604.json,"NEAR EAST BERKSHIRE, VT.",MISSISQUOI,United States,-72.7,44.96,-72.675,44.975,,,2.579,1240.6,1270.1,2.38,0.612,0.621,33.926,1724,0.612,0.621,33.926,1724,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
4605,station_004605,16175,glofas_v5,15,-24,stations/station_004605.json,"FERNDALE, WA",NOOKSACK,United States,-122.59,48.84,-122.575,48.825,,,1.997,2035.7,2102.3,3.27,0.75,0.761,59.999,1745,0.75,0.761,59.999,1745,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
4606,station_004606,16176,glofas_v5,15,-24,stations/station_004606.json,"NEAR MOUNT VERNON, WA",SKAGIT,United States,-122.34,48.44,-122.325,48.425,,,2.002,8010.9,8075.9,0.81,0.573,0.672,222.949,1826,0.573,0.672,222.949,1826,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
4607,station_004607,16181,glofas_v5,15,-24,stations/station_004607.json,"NEAR CRESCENT CITY, CA",SMITH,United States,-124.08,41.79,-124.075,41.775,,,1.719,1590.3,1707.2,7.35,0.51,0.697,99.105,1826,0.51,0.697,99.105,1826,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
4608,station_004608,16182,glofas_v5,15,-24,stations/station_004608.json,"HOOPA, CA",Trinity,United States,-123.67,41.05,-123.675,41.025,,,2.811,7389.3,7474.9,1.16,0.799,0.811,71.82,1826,0.799,0.811,71.82,1826,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
4609,station_004609,16183,glofas_v5,15,-24,stations/station_004609.json,"ORICK, CA",REDWOOD CREEK,United States,-124.05,41.3,-124.025,41.275,,,3.477,717.4,723.5,0.85,0.784,0.802,19.572,1752,0.784,0.802,19.572,1752,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
4610,station_004610,16184,glofas_v5,15,-24,stations/station_004610.json,"NEAR YREKA, CA",SHASTA,United States,-122.6,41.82,-122.625,41.775,,,5.416,2053.8,1898.2,-7.58,0.457,0.597,2.372,1786,0.457,0.597,2.372,1786,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
4611,station_004611,16185,glofas_v5,15,-24,stations/station_004611.json,"BELOW SPRAGUE RIVER NEAR CHILOQUIN, OR",WILLIAMSON,United States,-121.88,42.56,-121.875,42.575,,,1.717,7770.0,7572.8,-2.54,0.777,0.894,5.524,1826,0.777,0.894,5.524,1826,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
