station_index,station_id,source_station_id,expver,resolution_arcmin,valid_time_shift_hours,file,name,river,country_code,lon,lat,model_lon,model_lat,model_row,model_col,distance_station_to_model_km,upstream_area_km2,model_upstream_area_km2,upstream_area_difference_pct,kge,correlation,rmse,matched_days,KGE,Correlation,RMSE_m3s,Matched_days,Obs_file
11235,station_011235,7000561,iyp3,15,-24,stations/station_011235.json,"Thulba , Oberthulba",,,9.95961,50.19661,10.375,49.875,160,761,46.465,76.3,173.0,126.74,-0.038,0.13,0.87,731,-0.038,0.13,0.87,731,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
11236,station_011236,7000562,iyp3,15,-24,stations/station_011236.json,"Lauter , Schlimpfhof",,,9.96686,50.21993,9.875,50.125,159,759,12.419,12.3,2136.7,17271.54,-121.182,0.305,11.84,731,-121.182,0.305,11.84,731,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
11237,station_011237,7000563,iyp3,15,-24,stations/station_011237.json,"Sinn , Bad Brückenau",,,9.78896,50.30777,10.125,50.625,157,760,42.544,91.0,318.5,250.0,0.173,0.261,2.31,731,0.173,0.261,2.31,731,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
11238,station_011238,7000564,iyp3,15,-24,stations/station_011238.json,"Sinn , Mittelsinn",,,9.61653,50.20071,9.875,50.375,158,759,26.698,461.3,441.8,-4.23,0.146,0.29,6.052,731,0.146,0.29,6.052,731,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
11239,station_011239,7000565,iyp3,15,-24,stations/station_011239.json,"Sinn , Gemünden Lachsfangsteg",,,9.6872,50.07408,9.375,50.125,159,757,22.977,617.2,708.6,14.81,0.266,0.293,7.789,731,0.266,0.293,7.789,731,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
11240,station_011240,7000566,iyp3,15,-24,stations/station_011240.json,"Lohr , Frammersbach",,,9.47533,50.06099,9.125,50.375,158,756,42.9,68.6,214.4,212.54,0.2,0.209,1.14,731,0.2,0.209,1.14,731,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
11241,station_011241,7000567,iyp3,15,-24,stations/station_011241.json,"Lohr , Partenstein",,,9.54042,50.02517,9.125,50.375,158,756,48.861,217.4,214.4,-1.38,-0.236,0.222,3.144,731,-0.236,0.222,3.144,731,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
11242,station_011242,7000568,iyp3,15,-24,stations/station_011242.json,"Hafenlohr , Hafenlohr",,,9.59672,49.86958,9.125,50.375,158,756,65.494,146.6,214.4,46.25,-0.096,0.182,2.141,731,-0.096,0.182,2.141,731,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
11243,station_011243,7000569,iyp3,15,-24,stations/station_011243.json,"Aalbach , Wüstenzell",,,9.65345,49.77476,10.125,49.375,162,760,55.964,120.0,380.2,216.83,-17.916,0.011,3.328,731,-17.916,0.011,3.328,731,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
11244,station_011244,7000570,iyp3,15,-24,stations/station_011244.json,"Tauber , Bockenfeld",,,10.19324,49.32558,10.375,49.875,160,761,62.481,74.9,173.0,130.97,0.175,0.214,0.647,731,0.175,0.214,0.647,731,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
11245,station_011245,7000571,iyp3,15,-24,stations/station_011245.json,"Gollach , Bieberehren",,,10.01972,49.51336,10.375,49.875,160,761,47.645,166.4,173.0,3.97,-0.019,0.024,0.573,731,-0.019,0.024,0.573,731,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
11246,station_011246,7000572,iyp3,15,-24,stations/station_011246.json,"Erf , Bürgstadt",,,9.27153,49.71068,9.125,49.625,161,756,14.212,241.3,408.2,69.17,-0.739,0.158,4.147,731,-0.739,0.158,4.147,731,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
11247,station_011247,7000573,iyp3,15,-24,stations/station_011247.json,"Mud , Weilbach",,,9.21823,49.68039,9.125,49.625,161,756,9.109,398.4,408.2,2.46,0.176,0.179,4.768,731,0.176,0.179,4.768,731,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
11248,station_011248,7000574,iyp3,15,-24,stations/station_011248.json,"Elsava , Hobbach",,,9.28448,49.85881,9.125,50.375,158,756,58.513,81.0,214.4,164.69,0.037,0.16,1.039,731,0.037,0.16,1.039,731,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
11249,station_011249,7000575,iyp3,15,-24,stations/station_011249.json,"Elsava , Rück",,,9.21638,49.8272,9.125,50.375,158,756,61.26,143.6,214.4,49.3,0.118,0.165,1.067,731,0.118,0.165,1.067,731,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
11250,station_011250,7000576,iyp3,15,-24,stations/station_011250.json,"Aschaff , Goldbach",,,9.18711,49.99499,9.125,50.375,158,756,42.486,142.2,214.4,50.77,-0.011,0.064,1.511,731,-0.011,0.064,1.511,731,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
11251,station_011251,7000577,iyp3,15,-24,stations/station_011251.json,"Kahl , Schöllkrippen",,,9.2432,50.08264,9.125,50.375,158,756,33.579,64.6,214.4,231.89,-0.198,0.105,1.043,731,-0.198,0.105,1.043,731,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
11252,station_011252,7000578,iyp3,15,-24,stations/station_011252.json,"Kahl , Alzenau",,,9.06535,50.08623,9.125,50.375,158,756,32.389,180.8,214.4,18.58,-0.042,0.118,1.646,731,-0.042,0.118,1.646,731,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
